ID,Source,Duration in Minutes,Start Time,End Time,Amount,Kiosk ID,App Zone ID,App Zone Group,Payment Method,Location Group,Last Updated,Year,Month,Hour,inter_arrival_minutes
84867965,Parking Meters,180.0,2024-01-01 08:50:00,2021-08-12 11:50:00,7.25,10000224,,,CARD,Core,5/4/2023 21:35,2021,August,8,2.0
84867972,Parking Meters,473.73334,2024-01-01 08:51:00,2021-08-12 16:45:00,22.5,26002636,,,CARD,Mueller,5/4/2023 21:35,2021,August,8,1.0
84867971,Parking Meters,240.0,2024-01-01 08:51:00,2021-08-12 12:51:00,10.75,10000522,,,CARD,Core,5/4/2023 21:35,2021,August,8,0.0
84867960,Parking Meters,75.0,2024-01-01 08:51:00,2021-08-12 10:06:00,2.75,10000211,,,CARD,Core,5/4/2023 21:35,2021,August,8,0.0
84919897,Parking Meters,180.0,2024-01-01 08:59:00,2021-08-16 11:59:00,7.25,20001431,,,CARD,Non-Core,5/4/2023 21:36,2021,August,8,8.0
84919884,Parking Meters,330.0,2024-01-01 08:59:00,2021-08-16 14:29:00,16.5,10000109,,,CARD,Core,5/4/2023 21:36,2021,August,8,0.0
84855132,Parking Meters,60.0,2024-01-01 08:59:00,2021-08-11 09:59:00,2.25,20001739,,,CARD,Non-Core,5/4/2023 21:35,2021,August,8,0.0
84868106,Parking Meters,150.0,2024-01-01 09:00:00,2021-08-12 11:30:00,5.5,35001538,,,CARD,West Campus,5/4/2023 21:35,2021,August,9,1.0
84919907,Parking Meters,345.0,2024-01-01 09:01:00,2021-08-16 14:46:00,17.75,10000312,,,CARD,Core,5/4/2023 21:36,2021,August,9,1.0
84779603,Parking Meters,776.0,2024-01-01 09:03:00,2021-08-05 21:59:00,5.0,81002107,,,CARD,Emma,5/4/2023 21:34,2021,August,9,2.0
84919984,Parking Meters,60.0,2024-01-01 09:07:00,2021-08-16 10:07:00,2.25,10000803,,,CARD,Core,5/4/2023 21:36,2021,August,9,4.0
84843669,Parking Meters,360.0,2024-01-01 09:08:00,2021-08-10 15:08:00,19.25,61001601,,,CARD,Rainey,5/4/2023 21:35,2021,August,9,1.0
84843671,Parking Meters,60.0,2024-01-01 09:08:00,2021-08-10 10:08:00,2.25,10000326,,,CARD,Core,5/4/2023 21:35,2021,August,9,0.0
84920002,Parking Meters,299.45,2024-01-01 09:08:00,2021-08-16 14:07:00,10.0,91001901,,,CARD,MACC Lot,5/4/2023 21:36,2021,August,9,0.0
84920008,Parking Meters,60.0,2024-01-01 09:09:00,2021-08-16 10:09:00,2.25,24002457,,,CARD,East Austin,5/4/2023 21:36,2021,August,9,1.0
84777300,Parking Meters,120.0,2024-01-01 09:10:00,2021-08-05 11:10:00,4.0,10000518,,,COINS,Core,5/4/2023 21:34,2021,August,9,1.0
84807937,Parking Meters,764.0,2024-01-01 09:15:00,2021-08-07 21:59:00,10.0,81002107,,,CARD,Emma,5/4/2023 21:34,2021,August,9,5.0
84740010,Parking Meters,165.0,2024-01-01 09:19:00,2021-08-02 12:04:00,6.25,20001751,,,CARD,Non-Core,6/9/2023 21:20,2021,August,9,4.0
84868354,Parking Meters,195.0,2024-01-01 09:20:00,2021-08-12 12:35:00,7.75,10001215,,,CARD,Core,5/4/2023 21:35,2021,August,9,1.0
84868361,Parking Meters,98.95,2024-01-01 09:21:00,2021-08-12 11:00:00,2.25,26002604,,,CARD,Mueller,5/4/2023 21:35,2021,August,9,1.0
84777502,Parking Meters,90.0,2024-01-01 09:25:00,2021-08-05 10:55:00,3.25,10000129,,,CARD,Core,5/4/2023 21:34,2021,August,9,4.0
84920284,Parking Meters,60.0,2024-01-01 09:27:00,2021-08-16 10:27:00,2.25,10000407,,,CARD,Core,5/4/2023 21:36,2021,August,9,2.0
84715532,Parking Meters,210.0,2024-01-01 09:27:00,2021-07-31 12:57:00,8.5,20001123,,,CARD,Non-Core,5/4/2023 21:32,2021,July,9,0.0
84715537,Parking Meters,151.08333,2024-01-01 09:28:00,2021-07-31 12:00:00,2.25,10000810,,,CARD,Core,5/4/2023 21:32,2021,July,9,1.0
