ID,Source,Duration in Minutes,Start Time,End Time,Amount,Kiosk ID,App Zone ID,App Zone Group,Payment Method,Location Group,Last Updated
84707351,Parking Meters,122.566666,7/30/2021 15:57,7/30/2021 17:59,4.33,35001517,,,CARD,West Campus,5/4/2023 21:32
84707353,Parking Meters,266.25,7/30/2021 15:58,7/30/2021 16:34,2.25,35001542,,,CARD,West Campus,5/4/2023 21:32
84707358,Parking Meters,60,7/30/2021 15:59,7/30/2021 16:59,2.25,10001017,,,CARD,Core,5/4/2023 21:32
84707360,Parking Meters,168.75,7/30/2021 15:58,7/30/2021 16:48,2.25,10000314,,,CARD,Core,5/4/2023 21:32
84707361,Parking Meters,120,7/30/2021 15:58,7/30/2021 17:58,4.25,20001434,,,CARD,Non-Core,5/4/2023 21:32
84707362,Parking Meters,120,7/30/2021 15:59,7/30/2021 17:59,4.25,10000109,,,CARD,Core,5/4/2023 21:32
84707363,Parking Meters,105,7/30/2021 15:59,7/30/2021 17:44,3.75,26002623,,,CARD,Mueller,5/4/2023 21:32
84707364,Parking Meters,60,7/30/2021 15:59,7/30/2021 16:59,2.25,10000334,,,CARD,Core,5/4/2023 21:32
84707365,Parking Meters,120,7/30/2021 15:58,7/30/2021 17:58,4,61001631,,,COINS,Rainey,5/4/2023 21:32
84707368,Parking Meters,22.5,7/30/2021 15:58,7/30/2021 16:21,0.75,10001024,,,COINS,Core,5/4/2023 21:32
84707370,Parking Meters,120.98333,7/30/2021 15:58,7/30/2021 17:59,4.28,20001723,,,CARD,Non-Core,5/4/2023 21:32
84707371,Parking Meters,60,7/30/2021 15:58,7/30/2021 16:58,2.25,24002472,,,CARD,East Austin,5/4/2023 21:32
84707386,Parking Meters,60,7/30/2021 15:59,7/30/2021 16:59,2.25,35001568,,,CARD,West Campus,5/4/2023 21:32
84707393,Parking Meters,210,7/30/2021 15:59,7/30/2021 19:29,8.5,10001006,,,CARD,Core,5/4/2023 21:32
84707396,Parking Meters,120.11667,7/30/2021 15:59,7/30/2021 17:59,4.25,35001523,,,CARD,West Campus,5/4/2023 21:32
84707398,Parking Meters,60,7/30/2021 15:59,7/30/2021 16:59,2.25,10001003,,,CARD,Core,5/4/2023 21:32
84707399,Parking Meters,46.5,7/30/2021 15:59,7/30/2021 16:45,1.55,10000539,,,COINS,Core,5/4/2023 21:32
84707400,Parking Meters,60,7/30/2021 16:01,7/30/2021 17:01,2.25,26002610,,,CARD,Mueller,5/4/2023 21:32
84707412,Parking Meters,127.5,7/30/2021 16:01,7/30/2021 18:06,2.25,10000334,,,CARD,Core,5/4/2023 21:32
84707416,Parking Meters,60,7/30/2021 16:02,7/30/2021 17:02,2.25,10000878,,,CARD,Core,5/4/2023 21:32
84707422,Parking Meters,60,7/30/2021 16:01,7/30/2021 17:01,2.25,26002606,,,CARD,Mueller,5/4/2023 21:32
84707423,Parking Meters,117.86667,7/30/2021 16:02,7/30/2021 17:59,4.17,35001502,,,CARD,West Campus,5/4/2023 21:32
84707488,Parking Meters,60,7/30/2021 16:03,7/30/2021 17:03,2.25,10000324,,,CARD,Core,5/4/2023 21:32
84707491,Parking Meters,435,7/30/2021 16:03,7/30/2021 19:19,12.5,61001607,,,CARD,Rainey,5/4/2023 21:32
84707492,Parking Meters,60,7/30/2021 16:03,7/30/2021 17:03,2.25,26002601,,,CARD,Mueller,5/4/2023 21:32
84707505,Parking Meters,150,7/30/2021 16:04,7/30/2021 18:34,5.5,10001028,,,CARD,Core,5/4/2023 21:32
84707532,Parking Meters,105,7/30/2021 16:06,7/30/2021 17:51,3.75,24002474,,,CARD,East Austin,5/4/2023 21:32
84707536,Parking Meters,60,7/30/2021 16:07,7/30/2021 17:07,2.25,24002479,,,CARD,East Austin,5/4/2023 21:32
84707542,Parking Meters,114.316666,7/30/2021 16:05,7/30/2021 17:59,4.06,20001709,,,CARD,Non-Core,5/4/2023 21:32
84707545,Parking Meters,120,7/30/2021 16:06,7/30/2021 18:06,4.25,10000661,,,CARD,Core,5/4/2023 21:32
84707549,Parking Meters,210,7/30/2021 16:05,7/30/2021 19:35,8.5,10001203,,,CARD,Core,5/4/2023 21:32
84707552,Parking Meters,60,7/30/2021 16:06,7/30/2021 17:06,2.25,26002601,,,CARD,Mueller,5/4/2023 21:32
84707553,Parking Meters,90,7/30/2021 16:07,7/30/2021 17:37,3.25,26002626,,,CARD,Mueller,5/4/2023 21:32
84707554,Parking Meters,60,7/30/2021 16:06,7/30/2021 17:06,2.25,10000407,,,CARD,Core,5/4/2023 21:32
84707556,Parking Meters,60,7/30/2021 16:07,7/30/2021 17:07,2.25,20001723,,,CARD,Non-Core,5/4/2023 21:32
84707560,Parking Meters,112.2,7/30/2021 16:07,7/30/2021 17:59,3.99,28002806,,,CARD,Austin High,5/4/2023 21:32
84707561,Parking Meters,60,7/30/2021 16:07,7/30/2021 17:07,2.25,35002533,,,CARD,West Campus,5/4/2023 21:32
84707562,Parking Meters,90,7/30/2021 16:07,7/30/2021 17:37,3.25,28002811,,,CARD,Austin High,5/4/2023 21:32
84707565,Parking Meters,15,7/30/2021 16:07,7/30/2021 16:22,0.5,24002460,,,COINS,East Austin,5/4/2023 21:32
84707566,Parking Meters,172.5,7/30/2021 16:07,7/30/2021 17:10,2.25,28002808,,,CARD,Austin High,5/4/2023 21:32
84707568,Parking Meters,60,7/30/2021 16:08,7/30/2021 17:08,2.25,20001408,,,CARD,Non-Core,5/4/2023 21:32
84707571,Parking Meters,165,7/30/2021 16:07,7/30/2021 18:52,6.25,10001004,,,CARD,Core,5/4/2023 21:32
84707572,Parking Meters,105,7/30/2021 16:06,7/30/2021 17:51,3.75,10000531,,,CARD,Core,5/4/2023 21:32
84707576,Parking Meters,112.066666,7/30/2021 16:07,7/30/2021 17:59,3.98,35002529,,,CARD,West Campus,5/4/2023 21:32
84707578,Parking Meters,111.166664,7/30/2021 16:08,7/30/2021 17:59,3.95,35002503,,,CARD,West Campus,5/4/2023 21:32
84707579,Parking Meters,60,7/30/2021 16:08,7/30/2021 17:08,2.25,24002432,,,CARD,East Austin,5/4/2023 21:32
84707580,Parking Meters,112.21667,7/30/2021 16:07,7/30/2021 17:59,3.99,10000815,,,CARD,Core,5/4/2023 21:32
84707581,Parking Meters,120,7/30/2021 16:08,7/30/2021 18:08,4.25,10001005,,,CARD,Core,5/4/2023 21:32
84707596,Parking Meters,60,7/30/2021 16:08,7/30/2021 17:08,2.25,10001226,,,CARD,Core,5/4/2023 21:32
84707600,Parking Meters,150,7/30/2021 16:08,7/30/2021 18:38,5.5,10000304,,,CARD,Core,5/4/2023 21:32
84707603,Parking Meters,60,7/30/2021 16:09,7/30/2021 17:09,2.25,24002474,,,CARD,East Austin,5/4/2023 21:32
84707606,Parking Meters,120,7/30/2021 16:09,7/30/2021 18:09,4.25,10001019,,,CARD,Core,5/4/2023 21:32
84707665,Parking Meters,105,7/30/2021 16:12,7/30/2021 17:57,3.75,10000510,,,CARD,Core,5/4/2023 21:32
84707674,Parking Meters,60,7/30/2021 16:13,7/30/2021 17:13,2.25,20001439,,,CARD,Non-Core,5/4/2023 21:32
84707681,Parking Meters,60,7/30/2021 16:12,7/30/2021 17:12,2.25,35001507,,,CARD,West Campus,5/4/2023 21:32
84707683,Parking Meters,105,7/30/2021 16:13,7/30/2021 17:58,3.75,10000534,,,CARD,Core,5/4/2023 21:32
84707684,Parking Meters,135,7/30/2021 16:14,7/30/2021 18:29,4.75,10001007,,,CARD,Core,5/4/2023 21:32
84707688,Parking Meters,60,7/30/2021 16:14,7/30/2021 17:14,2.25,61001627,,,CARD,Rainey,5/4/2023 21:32
84707689,Parking Meters,150,7/30/2021 16:12,7/30/2021 18:42,5.5,71002004,,,CARD,Toomey,5/4/2023 21:32
84707692,Parking Meters,466.23334,7/30/2021 16:12,7/30/2021 23:58,27.64,10000542,,,CARD,Core,5/4/2023 21:32
84707696,Parking Meters,150,7/30/2021 16:13,7/30/2021 18:43,5.5,10000302,,,CARD,Core,5/4/2023 21:32
84707697,Parking Meters,240,7/30/2021 16:14,7/30/2021 18:04,5.25,26002603,,,CARD,Mueller,5/4/2023 21:32
84708299,Parking Meters,74.45,7/30/2021 16:45,7/30/2021 17:59,2.73,35002509,,,CARD,West Campus,5/4/2023 21:32
84708300,Parking Meters,375,7/30/2021 16:46,7/30/2021 23:01,20,10000224,,,CARD,Core,5/4/2023 21:32
84708301,Parking Meters,75,7/30/2021 16:46,7/30/2021 18:01,2.75,10001033,,,CARD,Core,5/4/2023 21:32
84708347,Parking Meters,60,7/30/2021 16:49,7/30/2021 17:49,2.25,20001416,,,CARD,Non-Core,5/4/2023 21:32
84708349,Parking Meters,71.36667,7/30/2021 16:48,7/30/2021 17:59,2.62,28002805,,,CARD,Austin High,5/4/2023 21:32
84708350,Parking Meters,105,7/30/2021 16:49,7/30/2021 18:34,3.75,10000211,,,CARD,Core,5/4/2023 21:32
84708353,Parking Meters,60,7/30/2021 16:49,7/30/2021 17:49,2.25,24002432,,,CARD,East Austin,5/4/2023 21:32
84708354,Parking Meters,60,7/30/2021 16:49,7/30/2021 17:49,2.25,35001556,,,CARD,West Campus,5/4/2023 21:32
84708355,Parking Meters,150,7/30/2021 16:48,7/30/2021 19:18,5.5,10000305,,,CARD,Core,5/4/2023 21:32
84708357,Parking Meters,135,7/30/2021 16:49,7/30/2021 19:04,4.75,10001037,,,CARD,Core,5/4/2023 21:32
