Scenario,Car_ID,Arrival_Time,Queue_Time,Search_Time,Parking_Duration,Jenis
MANUAL,Car_1741,3334.0,12.590328558126657,9.279245744610755,150.0,Manual
MANUAL,Car_1790,3384.0,11.37115151875878,6.414968757092506,105.0,Manual
MANUAL,Car_1772,3368.0,6.473919009335077,12.617369615964986,120.0,Manual
MANUAL,Car_1742,3334.0,12.596987721586174,10.606396568339317,150.0,Manual
MANUAL,Car_1840,3425.0,8.960216044851222,13.53550110430827,60.0,Manual
MANUAL,Car_1786,3380.0,9.564354585963429,12.94490300214914,105.0,Manual
MANUAL,Car_1844,3428.0,11.387936005019583,8.479968908836486,60.0,Manual
MANUAL,Car_1777,3374.0,5.073053643217463,10.108343595872729,120.0,Manual
MANUAL,Car_1682,3291.0,0.0,8.642307644459018,210.0,Manual
MANUAL,Car_1848,3431.0,12.241722680089879,7.0488203343599825,60.0,Manual
MANUAL,Car_1847,3431.0,10.967182057566333,8.784983460012572,60.0,Manual
MANUAL,Car_1811,3401.0,13.453083657764182,6.490222932734356,90.0,Manual
MANUAL,Car_1842,3427.0,9.863506801694712,14.1331445731115,60.0,Manual
MANUAL,Car_1843,3427.0,12.043145796292265,15.327449722767621,60.0,Manual
MANUAL,Car_1855,3443.0,7.7614317130437485,6.2884416462525685,60.0,Manual
MANUAL,Car_1544,3146.0,0.0,11.115471944828407,360.0,Manual
MANUAL,Car_1782,3377.0,9.973953863917359,10.886514074346447,120.0,Manual
MANUAL,Car_1849,3437.0,7.887702452651865,14.158055660626637,60.0,Manual
MANUAL,Car_1841,3425.0,9.420320794722102,10.22723536593077,75.0,Manual
MANUAL,Car_1781,3377.0,9.058108582952627,14.11364658695695,120.0,Manual
MANUAL,Car_1592,3214.0,0.0,7.681412971759152,299.86667,Manual
MANUAL,Car_1822,3407.0,16.075296523871202,8.655059322020675,90.0,Manual
MANUAL,Car_1837,3416.0,16.603431791771072,14.489090929811805,75.0,Manual
MANUAL,Car_1853,3441.0,7.346695394433482,14.26309566927936,60.0,Manual
MANUAL,Car_1754,3344.0,18.387630897659164,12.134796528646179,150.0,Manual
MANUAL,Car_1675,3287.0,0.0,12.88456739557723,225.0,Manual
MANUAL,Car_1823,3407.0,16.19607860475935,12.153204035019245,90.0,Manual
MANUAL,Car_1859,3451.0,3.444185937664315,12.858204883638228,60.0,Manual
MANUAL,Car_1854,3441.0,9.650971603139169,7.79647923226951,69.0,Manual
MANUAL,Car_1733,3326.0,7.068503367335779,14.715231523055747,180.0,Manual
MANUAL,Car_1686,3292.0,2.4175587194317814,9.418205879841382,225.0,Manual
MANUAL,Car_1756,3349.0,14.139871023782234,6.047449057944399,160.0,Manual
MANUAL,Car_1827,3409.0,17.63662673189674,15.703250517628765,87.0,Manual
MANUAL,Car_1828,3409.0,19.145229702078723,8.606019527380065,105.0,Manual
MANUAL,Car_1832,3413.0,16.046746351629736,7.8891413936681145,105.0,Manual
MANUAL,Car_1870,3476.0,0.0,6.881084120207031,60.0,Manual
MANUAL,Car_1878,3480.0,0.0,6.399181257441558,60.0,Manual
MANUAL,Car_1809,3400.0,12.25698111646443,14.74954815899288,120.0,Manual
MANUAL,Car_1831,3413.0,15.743483502238632,14.064794129722678,105.0,Manual
MANUAL,Car_1871,3477.0,0.0,12.166477656629413,60.0,Manual
MANUAL,Car_1879,3482.0,0.0,9.044470383799702,60.0,Manual
MANUAL,Car_1797,3389.0,12.475700918981602,14.937118566310033,135.0,Manual
MANUAL,Car_1877,3479.0,0.0,14.417185253675221,60.0,Manual
MANUAL,Car_1860,3452.0,2.636192871062576,9.410618154288054,90.0,Manual
MANUAL,Car_1446,3010.0,0.0,5.220877888090875,540.0,Manual
MANUAL,Car_1405,2887.0,0.0,1.2719715937744382,667.48334,Manual
MANUAL,Car_1882,3484.0,0.0,12.010349962018722,60.0,Manual
MANUAL,Car_1884,3486.0,0.0,10.550279656263966,60.0,Manual
MANUAL,Car_1791,3385.0,11.01439098474384,11.525302958023001,150.0,Manual
MANUAL,Car_1812,3401.0,14.68402264110091,7.602889050565692,135.0,Manual
MANUAL,Car_1829,3410.0,18.286978211071528,10.273397731608085,120.0,Manual
MANUAL,Car_1727,3322.0,4.348867598626384,9.164422421834175,225.0,Manual
MANUAL,Car_1834,3414.0,15.280006176312327,12.05841300344395,120.0,Manual
MANUAL,Car_1745,3336.0,12.381037728947376,7.2324590719596875,210.0,Manual
MANUAL,Car_1891,3495.0,0.0,13.348697661419635,60.0,Manual
MANUAL,Car_1491,3067.0,0.0,6.795196168044268,495.0,Manual
MANUAL,Car_1915,3523.0,0.0,8.457740598854851,37.5,Manual
MANUAL,Car_1918,3532.0,0.0,7.061613693809683,30.0,Manual
MANUAL,Car_1895,3503.0,0.0,6.974304456579569,60.0,Manual
MANUAL,Car_1872,3477.0,0.0,7.481136500840908,90.0,Manual
MANUAL,Car_1902,3509.0,0.0,5.985194568192322,60.0,Manual
MANUAL,Car_1833,3414.0,15.110257560004356,11.408148015968173,135.0,Manual
MANUAL,Car_1905,3510.0,0.0,9.079739974124365,60.0,Manual
MANUAL,Car_1910,3514.0,0.0,6.278132603776539,60.0,Manual
MANUAL,Car_1755,3345.0,17.418030933613863,9.035558572992619,210.0,Manual
MANUAL,Car_1911,3516.0,0.0,6.4014405427934715,60.0,Manual
MANUAL,Car_1908,3511.0,0.0,13.218565744799406,60.0,Manual
MANUAL,Car_1861,3455.0,0.0076162003183526394,9.563678167777844,120.0,Manual
MANUAL,Car_1913,3518.0,0.0,7.416381071982707,60.0,Manual
MANUAL,Car_1912,3516.0,0.0,9.799663081084251,60.0,Manual
MANUAL,Car_1865,3466.0,0.0,14.98379000161154,105.0,Manual
MANUAL,Car_1867,3468.0,0.0,13.352522846009126,105.0,Manual
MANUAL,Car_1759,3355.0,11.714873830751912,11.402829899265758,210.0,Manual
